id,name,price,is_available,is_featured,dt_created,lister_id,is_locked,is_routed,last_locked,address_num,address_street,address_apt,address_zip
156,Monopoly (Cheater's Edition),15,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
157,Honeywell Small Round Fan,15,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
158,Measuring Cups,2,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
159,Plastic Measuring Spoons,3,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
160,Cards Against Humanity (includes CAH Saves America cards),25,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
161,Dominoes,20,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
162,Utensil Drawer Organizer,8,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
163,Twin XL Comforter,19.99,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
164,Twin Mattress Pad,25,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
165,Twister,13,TRUE,FALSE,2020-12-31 1:42:17,4,FALSE,FALSE,0,70,Morningside Drive,,10027
166,Large Mini-fridge,130,FALSE,TRUE,2021-01-01 2:13:11,32,FALSE,FALSE,0,70,Morningside Drive,,10027
167,Mini Projector + HDMI Cord,65,TRUE,FALSE,2021-01-01 2:13:11,32,FALSE,FALSE,0,70,Morningside Drive,,10027
170,Small Mini-Fridge,75,TRUE,TRUE,2021-01-02 2:50:27,32,FALSE,FALSE,0,70,Morningside Drive,,10027
172,15lbs Dumbbell Weights,75,TRUE,FALSE,2021-01-02 2:50:27,32,FALSE,FALSE,0,70,Morningside Drive,,10027
173,Cookware Set (Pots and Pans),45,TRUE,FALSE,2021-01-03 3:15:09,32,FALSE,FALSE,0,70,Morningside Drive,,10027
174,Small Cookware Set,27,TRUE,FALSE,2021-01-04 3:51:44,2,FALSE,FALSE,0,70,Morningside Drive,,10027
175,Mini-Projector (VANKYO),80,FALSE,FALSE,2021-01-05 6:46:42,2,FALSE,FALSE,0,70,Morningside Drive,,10027
178,"Foldable Step Stool (15"")",22,TRUE,FALSE,2021-01-05 6:46:42,32,FALSE,FALSE,0,70,Morningside Drive,,10027
179,Bartending Cocktail Shaker Set,30,TRUE,FALSE,2021-01-05 6:46:43,32,FALSE,FALSE,0,70,Morningside Drive,,10027
